payroll_id,employee_id,employee_name,department,position,payment_period,base_salary,overtime_pay,allowances,deductions,net_salary,payment_date,currency,employment_type,cost_center
PAY-2025-01-00721,EMP-KMM-MAN-001,田中太郎,manufacturing,operator,2025-01,325709,20000,51237,90661,306285,2025-01-25,JPY,full_time,CC-005
PAY-2025-01-00722,EMP-KMM-SAL-002,鈴木花子,sales,manager,2025-01,370781,35598,52141,106905,351615,2025-01-25,JPY,full_time,CC-002
PAY-2025-01-00723,EMP-KMM-R&D-003,佐藤健一,R&D,senior_researcher,2025-01,382299,78842,51422,125677,386886,2025-01-25,JPY,full_time,CC-004
PAY-2025-01-00724,EMP-KMM-ADM-004,高橋美咲,administration,manager,2025-01,321528,50904,27048,101457,298023,2025-01-25,JPY,full_time,CC-001
PAY-2025-01-00725,EMP-HTB-MAN-005,渡辺誠,manufacturing,engineer,2025-01,308020,20000,60849,88320,300549,2025-01-25,JPY,full_time,CC-005
PAY-2025-01-00726,EMP-HTB-SAL-006,伊藤陽子,sales,manager,2025-01,389465,55887,63336,109199,399489,2025-01-25,JPY,full_time,CC-002
PAY-2025-01-00727,EMP-HTB-R&D-007,山本大輔,R&D,researcher,2025-01,442621,33705,57767,120621,413472,2025-01-25,JPY,full_time,CC-004
PAY-2025-01-00728,EMP-HTB-ADM-008,中村麻美,administration,staff,2025-01,353697,50102,14280,113012,305067,2025-01-25,JPY,full_time,CC-001
PAY-2025-01-00729,EMP-STM-MAN-009,小林優太,manufacturing,supervisor,2025-01,325596,20000,52261,87459,310398,2025-01-25,JPY,full_time,CC-005
PAY-2025-01-00730,EMP-STM-SAL-010,加藤絵里,sales,manager,2025-01,303207,61992,28571,103147,290623,2025-01-25,JPY,full_time,CC-002
PAY-2025-01-00731,EMP-STM-R&D-011,吉田拓也,R&D,senior_researcher,2025-01,420365,56849,10586,116697,371103,2025-01-25,JPY,full_time,CC-004
PAY-2025-01-00732,EMP-STM-ADM-012,山田真理子,administration,manager,2025-01,376804,46714,49233,116554,356197,2025-01-25,JPY,full_time,CC-001
PAY-2025-01-00733,EMP-SZK-MAN-013,佐々木翔,manufacturing,operator,2025-01,337271,20000,50772,86707,321336,2025-01-25,JPY,full_time,CC-005
PAY-2025-01-00734,EMP-SZK-SAL-014,井上明日香,sales,sales_rep,2025-01,397786,58935,56757,114655,398823,2025-01-25,JPY,full_time,CC-002
PAY-2025-01-00735,EMP-SZK-R&D-015,木村雄一,R&D,senior_researcher,2025-01,358419,71887,58023,105909,382420,2025-01-25,JPY,full_time,CC-004
PAY-2025-01-00736,EMP-SZK-ADM-016,松本由美,administration,manager,2025-01,360773,55108,50591,112615,353857,2025-01-25,JPY,full_time,CC-001
PAY-2025-01-00737,EMP-HMM-MAN-017,林健太郎,manufacturing,operator,2025-01,349211,20000,59954,98491,330674,2025-01-25,JPY,full_time,CC-005
PAY-2025-01-00738,EMP-HMM-SAL-018,清水千尋,sales,sales_rep,2025-01,359251,60296,37798,100491,356854,2025-01-25,JPY,full_time,CC-002
PAY-2025-01-00739,EMP-HMM-R&D-019,森本祐介,R&D,senior_researcher,2025-01,351250,62411,33388,109045,338004,2025-01-25,JPY,full_time,CC-004
PAY-2025-01-00740,EMP-HMM-ADM-020,池田愛美,administration,manager,2025-01,349514,72066,43193,107470,357303,2025-01-25,JPY,full_time,CC-001
PAY-2025-02-00741,EMP-KMM-MAN-001,田中太郎,manufacturing,operator,2025-02,325709,20000,36638,100263,282084,2025-02-25,JPY,full_time,CC-005
PAY-2025-02-00742,EMP-KMM-SAL-002,鈴木花子,sales,manager,2025-02,370781,64325,50719,122222,363603,2025-02-25,JPY,full_time,CC-002
PAY-2025-02-00743,EMP-KMM-R&D-003,佐藤健一,R&D,senior_researcher,2025-02,382299,37686,13209,116313,316881,2025-02-25,JPY,full_time,CC-004
PAY-2025-02-00744,EMP-KMM-ADM-004,高橋美咲,administration,manager,2025-02,321528,30529,16791,96745,272103,2025-02-25,JPY,full_time,CC-001
PAY-2025-02-00745,EMP-HTB-MAN-005,渡辺誠,manufacturing,engineer,2025-02,308020,22603,51347,90639,291331,2025-02-25,JPY,full_time,CC-005
PAY-2025-02-00746,EMP-HTB-SAL-006,伊藤陽子,sales,manager,2025-02,389465,78721,28867,127125,369928,2025-02-25,JPY,full_time,CC-002
PAY-2025-02-00747,EMP-HTB-R&D-007,山本大輔,R&D,researcher,2025-02,442621,32302,54724,120705,408942,2025-02-25,JPY,full_time,CC-004
PAY-2025-02-00748,EMP-HTB-ADM-008,中村麻美,administration,staff,2025-02,353697,32518,62691,105277,343629,2025-02-25,JPY,full_time,CC-001
PAY-2025-02-00749,EMP-STM-MAN-009,小林優太,manufacturing,supervisor,2025-02,325596,20000,27053,95827,276822,2025-02-25,JPY,full_time,CC-005
PAY-2025-02-00750,EMP-STM-SAL-010,加藤絵里,sales,manager,2025-02,303207,38738,30223,95889,276279,2025-02-25,JPY,full_time,CC-002
PAY-2025-02-00751,EMP-STM-R&D-011,吉田拓也,R&D,senior_researcher,2025-02,420365,35473,43088,118786,380140,2025-02-25,JPY,full_time,CC-004
PAY-2025-02-00752,EMP-STM-ADM-012,山田真理子,administration,manager,2025-02,376804,44297,38110,107929,351282,2025-02-25,JPY,full_time,CC-001
PAY-2025-02-00753,EMP-SZK-MAN-013,佐々木翔,manufacturing,operator,2025-02,337271,33688,11897,98450,284406,2025-02-25,JPY,full_time,CC-005
PAY-2025-02-00754,EMP-SZK-SAL-014,井上明日香,sales,sales_rep,2025-02,397786,34758,33933,120539,345938,2025-02-25,JPY,full_time,CC-002
PAY-2025-02-00755,EMP-SZK-R&D-015,木村雄一,R&D,senior_researcher,2025-02,358419,54636,53395,105314,361136,2025-02-25,JPY,full_time,CC-004
PAY-2025-02-00756,EMP-SZK-ADM-016,松本由美,administration,manager,2025-02,360773,52544,34055,116225,331147,2025-02-25,JPY,full_time,CC-001
PAY-2025-02-00757,EMP-HMM-MAN-017,林健太郎,manufacturing,operator,2025-02,349211,20000,54923,96995,327139,2025-02-25,JPY,full_time,CC-005
PAY-2025-02-00758,EMP-HMM-SAL-018,清水千尋,sales,sales_rep,2025-02,359251,31512,54523,101804,343482,2025-02-25,JPY,full_time,CC-002
PAY-2025-02-00759,EMP-HMM-R&D-019,森本祐介,R&D,senior_researcher,2025-02,351250,56098,54797,109862,352283,2025-02-25,JPY,full_time,CC-004
PAY-2025-02-00760,EMP-HMM-ADM-020,池田愛美,administration,manager,2025-02,349514,67520,55857,113600,359291,2025-02-25,JPY,full_time,CC-001
PAY-2025-03-00761,EMP-KMM-MAN-001,田中太郎,manufacturing,operator,2025-03,325709,20000,13474,95976,263207,2025-03-25,JPY,full_time,CC-005
PAY-2025-03-00762,EMP-KMM-SAL-002,鈴木花子,sales,manager,2025-03,370781,48154,35067,120257,333745,2025-03-25,JPY,full_time,CC-002
PAY-2025-03-00763,EMP-KMM-R&D-003,佐藤健一,R&D,senior_researcher,2025-03,382299,68106,53996,113558,390843,2025-03-25,JPY,full_time,CC-004
PAY-2025-03-00764,EMP-KMM-ADM-004,高橋美咲,administration,manager,2025-03,321528,71105,40945,110801,322777,2025-03-25,JPY,full_time,CC-001
PAY-2025-03-00765,EMP-HTB-MAN-005,渡辺誠,manufacturing,engineer,2025-03,308020,20000,39102,90302,276820,2025-03-25,JPY,full_time,CC-005
PAY-2025-03-00766,EMP-HTB-SAL-006,伊藤陽子,sales,manager,2025-03,389465,66435,11621,132347,335174,2025-03-25,JPY,full_time,CC-002
PAY-2025-03-00767,EMP-HTB-R&D-007,山本大輔,R&D,researcher,2025-03,442621,57839,53066,137226,416300,2025-03-25,JPY,full_time,CC-004
PAY-2025-03-00768,EMP-HTB-ADM-008,中村麻美,administration,staff,2025-03,353697,52456,19949,102738,323364,2025-03-25,JPY,full_time,CC-001
PAY-2025-03-00769,EMP-STM-MAN-009,小林優太,manufacturing,supervisor,2025-03,325596,21475,39738,89929,296880,2025-03-25,JPY,full_time,CC-005
PAY-2025-03-00770,EMP-STM-SAL-010,加藤絵里,sales,manager,2025-03,303207,74614,40578,92509,325890,2025-03-25,JPY,full_time,CC-002
PAY-2025-03-00771,EMP-STM-R&D-011,吉田拓也,R&D,senior_researcher,2025-03,420365,35800,15104,113009,358260,2025-03-25,JPY,full_time,CC-004
PAY-2025-03-00772,EMP-STM-ADM-012,山田真理子,administration,manager,2025-03,376804,71322,49954,113104,384976,2025-03-25,JPY,full_time,CC-001
PAY-2025-03-00773,EMP-SZK-MAN-013,佐々木翔,manufacturing,operator,2025-03,337271,30332,60267,93674,334196,2025-03-25,JPY,full_time,CC-005
PAY-2025-03-00774,EMP-SZK-SAL-014,井上明日香,sales,sales_rep,2025-03,397786,63351,56947,131013,387071,2025-03-25,JPY,full_time,CC-002
PAY-2025-03-00775,EMP-SZK-R&D-015,木村雄一,R&D,senior_researcher,2025-03,358419,60521,37225,105861,350304,2025-03-25,JPY,full_time,CC-004
PAY-2025-03-00776,EMP-SZK-ADM-016,松本由美,administration,manager,2025-03,360773,65719,41592,115187,352897,2025-03-25,JPY,full_time,CC-001
PAY-2025-03-00777,EMP-HMM-MAN-017,林健太郎,manufacturing,operator,2025-03,349211,20000,15803,102556,282458,2025-03-25,JPY,full_time,CC-005
PAY-2025-03-00778,EMP-HMM-SAL-018,清水千尋,sales,sales_rep,2025-03,359251,36631,50435,101906,344411,2025-03-25,JPY,full_time,CC-002
PAY-2025-03-00779,EMP-HMM-R&D-019,森本祐介,R&D,senior_researcher,2025-03,351250,46544,36576,106229,328141,2025-03-25,JPY,full_time,CC-004
PAY-2025-03-00780,EMP-HMM-ADM-020,池田愛美,administration,manager,2025-03,349514,58838,42172,115533,334991,2025-03-25,JPY,full_time,CC-001
PAY-2025-04-00781,EMP-KMM-MAN-001,田中太郎,manufacturing,operator,2025-04,325709,20000,56106,96278,305537,2025-04-25,JPY,full_time,CC-005
PAY-2025-04-00782,EMP-KMM-SAL-002,鈴木花子,sales,manager,2025-04,370781,76281,56702,121389,382375,2025-04-25,JPY,full_time,CC-002
PAY-2025-04-00783,EMP-KMM-R&D-003,佐藤健一,R&D,senior_researcher,2025-04,382299,56069,30539,107894,361013,2025-04-25,JPY,full_time,CC-004
