purchase_order_id,line_number,material_id,material_name,material_category,material_type,product_id,unspsc_code,quantity,unit_price_ex_tax,line_subtotal_incl_tax,line_subtotal_ex_tax,line_tax_amount,line_tax_rate,line_shipping_fee_incl_tax,line_discount_incl_tax,line_total_incl_tax,reference_price_ex_tax,purchase_rule,ship_date,shipping_status,carrier_tracking_number,shipped_quantity,carrier_name,delivery_address,receiving_status,received_quantity,received_date,receiver_name,receiver_email,cost_center,project_code,department_code,account_user,user_email
PO-2025-008500,1,MAT-STEEL-HMM,FRD - 鋼板材料,Raw Materials,direct,FRD-GB5,,18,1524.0,30174.0,27432.0,2742.0,0.1,3417,822,32769.0,-5877.0,該当無し,2025-01-08,delivered,YM4316153900,18,ヤマト運輸,"富田2354, 大里郡寄居町, 369-1293, 埼玉県",received,18,2025-01-10,佐藤花子,h.sato@example.com,CC-004,PRJ-2025-D,DEPT-MFG,佐藤花子,h.sato@example.com
PO-2025-008501,1,MAT-ALUMINUM-B3,FRD - アルミ板材,Raw Materials,direct,FRD-GB5,,6,2016.0,13305.0,12096.0,1209.0,0.1,3639,336,16608.0,-2124.0,該当無し,2025-01-08,delivered,YM5355426580,6,ヤマト運輸,"富田2354, 大里郡寄居町, 369-1293, 埼玉県",received,6,2025-01-15,田中太郎,t.tanaka@example.com,CC-006,PRJ-2024-C,DEPT-MFG,田中太郎,t.tanaka@example.com
PO-2025-008502,1,CMP-CHIP-XR5,FRD - 電子部品チップ,Electronic Components,direct,FRD-GB5,,108,354.0,42054.0,38232.0,3822.0,0.1,4242,45,46251.0,3498.0,該当無し,2025-01-08,delivered,SG2214096339,108,佐川急便,"富田2354, 大里郡寄居町, 369-1293, 埼玉県",received,108,2025-01-08,田中太郎,t.tanaka@example.com,CC-003,PRJ-2022-A,DEPT-MFG,田中太郎,t.tanaka@example.com
PO-2025-008503,1,ENG-1500-TURBO,FRD - 1.5Lターボエンジン,Engine Parts,direct,FRD-GB5,,6,1361775.0,8987715.0,8170650.0,817065.0,0.1,2676,138222,8852169.0,1347204.0,該当無し,2025-01-08,delivered,SG9636788286,6,佐川急便,"富田2354, 大里郡寄居町, 369-1293, 埼玉県",received,6,2025-01-07,鈴木一郎,i.suzuki@example.com,CC-004,PRJ-2025-D,DEPT-MFG,鈴木一郎,i.suzuki@example.com
PO-2025-008504,1,TRN-CVT-MINIVAN,FRD - ミニバンCVT,Transmission Parts,direct,FRD-GB5,,6,567411.0,3744912.0,3404466.0,340446.0,0.1,3924,22080,3726756.0,556932.0,該当無し,2025-01-08,delivered,SG2597502287,6,佐川急便,"富田2354, 大里郡寄居町, 369-1293, 埼玉県",received,6,2025-01-09,山本進,s.yamamoto@example.com,CC-006,PRJ-2024-C,DEPT-MFG,山本進,s.yamamoto@example.com
PO-2025-008505,1,ECU-STD-V3,FRD - 標準ECU,Electronic Control Units,direct,FRD-GB5,,6,144918.0,956457.0,869508.0,86949.0,0.1,2562,25179,933840.0,134808.0,該当無し,2025-01-08,delivered,NT4615748414,6,日本通運,"富田2354, 大里郡寄居町, 369-1293, 埼玉県",received,6,2025-01-11,高橋美咲,m.takahashi@example.com,CC-001,PRJ-2025-D,DEPT-MFG,高橋美咲,m.takahashi@example.com
PO-2025-008506,1,EXH-MANIFOLD-4CYL,FRD - 4気筒エキマニ,Exhaust Parts,direct,FRD-GB5,,6,70374.0,464466.0,422244.0,42222.0,0.1,2454,13752,453168.0,81375.0,該当無し,2025-01-08,delivered,YM5183723022,6,ヤマト運輸,"富田2354, 大里郡寄居町, 369-1293, 埼玉県",received,6,2025-01-14,鈴木一郎,i.suzuki@example.com,CC-002,PRJ-2023-B,DEPT-MFG,鈴木一郎,i.suzuki@example.com
PO-2025-008507,1,MFL-MINIVAN-STD,FRD - ミニバンマフラー,Muffler Parts,direct,FRD-GB5,,6,94797.0,625659.0,568782.0,56877.0,0.1,3303,7503,621459.0,93888.0,該当無し,2025-01-08,delivered,NT9827237811,6,日本通運,"富田2354, 大里郡寄居町, 369-1293, 埼玉県",received,6,2025-01-11,田中太郎,t.tanaka@example.com,CC-005,PRJ-2022-A,DEPT-MFG,田中太郎,t.tanaka@example.com
PO-2025-008508,1,ARM-FRONT-MINIVAN,FRD - フロントアーム,Suspension Arms,direct,FRD-GB5,,12,91872.0,1212708.0,1102464.0,110244.0,0.1,4386,23892,1193202.0,100392.0,該当無し,2025-01-08,delivered,SG1470311663,12,佐川急便,"富田2354, 大里郡寄居町, 369-1293, 埼玉県",received,12,2025-01-12,佐藤花子,h.sato@example.com,CC-006,PRJ-2025-D,DEPT-MFG,佐藤花子,h.sato@example.com
PO-2025-008509,1,ARM-REAR-MINIVAN,FRD - リアアーム,Suspension Arms,direct,FRD-GB5,,12,108651.0,1434192.0,1303812.0,130380.0,0.1,2472,6426,1430238.0,120420.0,該当無し,2025-01-08,delivered,NT2161875446,12,日本通運,"富田2354, 大里郡寄居町, 369-1293, 埼玉県",received,12,2025-01-15,高橋美咲,m.takahashi@example.com,CC-004,PRJ-2022-A,DEPT-MFG,高橋美咲,m.takahashi@example.com
